Temperature,Humidity,Moisture,Soil Type,Nitrogen,pH,Crop Type
18.8,57.4,40.7,loamy,193.9,7.54,Sugar Beet
23.9,68.0,68.9,loamy,119.3,5.73,Tomato
6.4,46.7,26.5,loamy,74.2,5.44,Rye
11.3,53.5,27.4,clayey,53.5,5.96,Rye
25.5,69.5,50.5,sandy,124.4,6.23,Soybean
18.7,66.7,37.7,black,141.2,6.2,Wheat
15.3,83.4,60.5,loamy,147.7,5.68,Potato
18.2,46.9,55.5,loamy,175.5,5.96,Corn
15.1,72.1,51.2,clayey,126.6,6.11,Oats
17.0,40.5,28.6,loamy,141.1,6.66,Cherry
23.4,68.8,49.5,black,126.2,6.75,Soybean
10.2,62.0,22.8,sandy,78.7,5.67,Rye
19.1,65.7,64.1,clayey,186.0,6.01,Corn
17.1,70.3,42.1,clayey,209.8,7.1,Sugar Beet
16.0,83.8,52.7,sandy,161.3,5.36,Potato
20.2,67.4,45.9,black,223.7,7.05,Sugar Beet
15.8,63.0,41.6,clayey,189.6,6.91,Rapeseed
27.2,33.2,26.5,red,155.9,6.29,Peach
19.5,69.2,47.2,loamy,133.7,6.25,Soybean
18.5,73.3,49.2,clayey,237.9,7.06,Sugar Beet
20.8,65.9,42.1,loamy,121.4,6.14,Soybean
27.4,35.3,25.8,clayey,90.2,6.26,Peach
15.6,69.3,56.8,loamy,127.9,6.19,Potato
15.9,42.6,35.7,black,126.3,6.63,Cherry
21.9,52.8,28.7,black,141.2,7.31,Sunflower
12.3,44.1,25.9,loamy,96.9,6.96,Barley
12.1,49.1,20.1,sandy,117.1,6.6,Barley
10.3,56.3,21.0,sandy,63.4,5.45,Rye
14.6,69.1,42.8,loamy,135.0,6.9,Wheat
21.5,49.7,45.4,loamy,128.9,6.51,Sunflower
16.0,64.5,33.7,black,241.5,7.24,Sugar Beet
16.4,76.5,60.5,clayey,123.9,6.02,Potato
10.7,43.7,35.1,loamy,134.0,7.19,Barley
10.1,55.2,28.5,loamy,77.3,7.31,Barley
20.9,51.4,36.2,loamy,126.9,6.83,Sunflower
22.9,78.5,64.1,sandy,166.2,6.09,Tomato
26.0,35.1,21.6,red,92.0,6.74,Peach
19.2,62.4,44.1,loamy,232.9,6.77,Sugar Beet
20.7,44.3,25.5,black,139.0,6.86,Sunflower
7.4,56.1,21.9,sandy,66.2,6.06,Rye
12.8,55.5,33.9,loamy,110.1,7.16,Barley
17.9,65.6,36.6,clayey,121.3,5.96,Wheat
24.6,68.8,53.6,loamy,167.7,5.93,Tomato
12.0,59.1,33.0,clayey,105.3,6.83,Barley
24.3,67.1,54.8,clayey,160.9,6.86,Soybean
14.2,55.9,26.6,red,105.1,6.98,Barley
12.7,54.2,29.8,loamy,112.1,6.93,Barley
15.3,50.4,29.6,loamy,104.4,6.32,Cherry
21.4,80.9,65.8,loamy,158.6,6.0,Tomato
8.9,52.5,25.1,sandy,67.5,5.85,Rye
23.6,51.3,15.5,loamy,132.2,6.62,Peach
20.9,46.9,32.2,black,107.2,7.22,Sunflower
15.4,60.8,30.6,loamy,220.6,6.66,Rapeseed
13.8,70.7,36.7,loamy,188.7,6.17,Wheat
19.5,67.1,54.8,black,149.9,6.46,Corn
15.4,47.0,27.9,sandy,109.6,6.69,Barley
13.2,77.8,48.1,sandy,105.4,5.94,Oats
9.9,65.8,23.5,sandy,65.9,5.4,Rye
22.6,53.2,35.1,black,161.3,6.92,Sunflower
12.6,62.1,33.9,loamy,197.5,6.61,Rapeseed
15.0,58.9,40.1,black,196.1,6.79,Rapeseed
25.8,79.5,70.8,loamy,217.6,5.91,Tomato
18.1,63.1,40.1,black,207.9,7.07,Sugar Beet
25.6,61.3,66.4,loamy,206.3,6.42,Corn
11.7,73.0,49.9,clayey,106.0,6.08,Oats
16.1,54.4,51.4,black,176.7,6.53,Corn
16.0,75.1,60.1,loamy,157.6,5.55,Potato
14.1,48.8,33.4,black,103.2,6.42,Cherry
13.9,75.8,42.2,clayey,119.2,6.14,Oats
21.6,44.4,27.7,loamy,125.5,6.75,Sunflower
17.8,66.0,44.1,clayey,177.0,6.27,Wheat
16.6,57.6,28.6,loamy,182.6,6.63,Rapeseed
16.8,82.8,63.4,clayey,93.1,5.82,Potato
24.4,45.3,39.2,black,144.3,6.46,Sunflower
14.7,52.3,39.7,loamy,107.0,7.07,Barley
25.3,64.0,54.9,loamy,132.5,6.27,Soybean
22.0,70.8,60.1,sandy,190.1,6.24,Corn
9.3,64.4,53.2,loamy,117.9,6.35,Oats
24.5,54.6,27.0,black,146.4,6.68,Sunflower
17.1,61.8,33.4,loamy,196.7,6.3,Rapeseed
21.3,58.5,55.6,loamy,138.4,6.17,Corn
17.3,82.8,59.5,sandy,145.8,5.56,Potato
14.6,69.0,45.7,sandy,85.9,6.3,Oats
15.7,73.3,61.6,loamy,118.1,5.34,Potato
16.3,61.0,43.4,loamy,184.5,6.25,Rapeseed
20.5,57.1,46.7,loamy,197.2,6.88,Sugar Beet
20.5,61.3,57.6,black,181.4,6.23,Corn
20.9,74.6,37.6,loamy,156.2,7.12,Wheat
25.2,39.1,17.4,loamy,123.3,6.21,Peach
20.9,70.6,57.7,black,122.4,6.54,Soybean
16.3,65.5,42.2,clayey,184.3,6.8,Rapeseed
15.8,77.4,61.3,loamy,41.3,6.07,Potato
14.4,52.4,42.0,clayey,116.6,6.32,Cherry
17.3,62.0,41.1,loamy,226.3,7.11,Sugar Beet
25.4,37.5,22.4,loamy,110.9,6.72,Peach
20.0,68.0,46.2,loamy,247.9,7.45,Sugar Beet
13.7,62.6,38.0,loamy,187.9,6.63,Rapeseed
20.9,70.0,48.7,black,81.5,6.35,Soybean
17.3,74.2,42.5,clayey,165.3,6.18,Rapeseed
21.7,65.1,55.8,black,77.0,6.54,Soybean
14.4,54.5,30.4,loamy,99.5,6.4,Cherry
17.2,63.3,40.7,black,215.9,7.14,Sugar Beet
19.7,50.6,24.6,black,145.7,6.39,Sunflower
22.7,49.4,28.7,loamy,114.4,6.64,Sunflower
18.2,87.3,60.0,sandy,139.3,6.25,Potato
21.1,52.5,32.1,black,128.2,6.76,Sunflower
11.7,72.1,39.1,loamy,178.2,6.67,Wheat
8.6,58.0,27.1,loamy,80.5,5.81,Rye
15.1,81.7,61.1,loamy,128.0,6.02,Potato
10.5,45.7,22.5,clayey,82.1,7.39,Barley
20.1,52.4,34.8,black,103.6,6.59,Sunflower
15.6,72.9,37.8,loamy,125.4,6.07,Wheat
14.0,79.3,46.7,black,92.8,6.22,Oats
16.8,48.2,33.1,sandy,131.3,6.28,Cherry
13.0,49.9,27.1,loamy,116.8,6.71,Barley
13.6,54.0,26.2,loamy,134.3,6.97,Barley
24.0,69.9,54.2,loamy,149.6,6.42,Soybean
15.7,77.8,54.7,clayey,134.2,6.06,Oats
22.6,71.3,55.0,black,138.7,6.46,Soybean
11.8,69.5,34.5,black,223.3,6.9,Rapeseed
17.2,61.1,36.1,loamy,130.5,5.98,Wheat
20.9,56.6,50.8,loamy,212.9,5.99,Corn
25.8,74.6,65.7,loamy,155.8,6.03,Tomato
12.1,53.8,38.3,black,111.2,6.84,Cherry
13.4,57.9,27.1,black,106.1,7.36,Barley
16.4,67.4,66.3,clayey,111.3,5.85,Potato
25.6,74.7,49.7,loamy,114.8,6.9,Soybean
24.3,53.6,55.5,loamy,172.3,6.5,Corn
13.9,69.6,47.3,clayey,214.7,6.31,Rapeseed
18.8,62.8,51.4,loamy,170.3,6.33,Corn
24.3,47.6,26.9,loamy,128.7,6.86,Sunflower
22.7,69.7,55.7,loamy,140.6,5.86,Tomato
11.6,74.4,41.7,black,100.9,5.75,Oats
19.3,82.5,49.9,sandy,137.0,5.38,Potato
16.9,54.5,39.9,loamy,199.0,6.85,Sugar Beet
16.9,68.1,57.6,clayey,140.2,6.06,Potato
28.2,72.9,57.1,loamy,197.0,6.13,Tomato
16.8,49.2,23.4,sandy,113.6,6.51,Cherry
17.5,59.2,48.0,loamy,228.4,7.04,Sugar Beet
17.1,51.0,25.7,loamy,99.5,6.66,Cherry
24.2,74.5,48.5,red,102.5,6.39,Soybean
14.9,68.3,33.2,black,181.8,6.53,Rapeseed
24.2,65.9,51.3,loamy,149.0,6.31,Soybean
20.2,68.6,38.4,red,257.5,7.1,Sugar Beet
8.5,48.6,15.3,sandy,44.5,6.03,Rye
21.5,69.7,53.8,loamy,215.2,6.05,Corn
17.2,65.0,42.0,loamy,129.5,6.13,Wheat
14.0,62.0,26.0,sandy,119.9,7.31,Barley
25.9,73.0,64.1,red,147.2,6.24,Tomato
10.7,57.2,25.2,sandy,106.6,7.09,Barley
9.9,57.9,19.7,loamy,66.7,5.93,Rye
18.0,60.2,49.3,clayey,201.8,7.45,Sugar Beet
17.9,57.1,39.4,loamy,134.4,6.81,Rapeseed
13.3,78.5,43.8,sandy,96.2,6.23,Oats
13.3,73.7,44.3,loamy,171.4,7.41,Wheat
19.6,57.7,50.1,black,165.6,6.31,Corn
21.7,46.3,32.3,black,135.4,6.68,Sunflower
24.0,48.5,31.8,black,118.0,6.82,Sunflower
10.8,50.6,23.1,loamy,52.8,5.94,Rye
10.0,54.8,32.1,sandy,118.4,6.7,Barley
10.7,76.8,37.2,loamy,104.0,5.95,Oats
9.3,53.2,22.4,clayey,51.5,5.86,Rye
16.2,51.2,28.1,loamy,109.3,6.51,Cherry
17.5,59.5,30.8,loamy,107.9,5.86,Cherry
23.3,38.6,18.8,loamy,153.4,6.66,Peach
12.2,70.7,58.5,clayey,90.3,5.95,Oats
8.6,55.4,24.0,loamy,61.5,5.99,Rye
26.4,42.2,21.5,sandy,146.8,6.67,Peach
21.5,60.4,50.5,clayey,199.2,6.42,Corn
28.6,44.9,18.6,loamy,93.3,6.33,Peach
12.8,70.5,45.2,clayey,110.1,6.1,Oats
14.6,57.6,42.0,loamy,192.3,6.53,Wheat
26.7,60.0,62.6,loamy,180.6,6.52,Tomato
6.4,54.6,19.7,sandy,63.5,5.93,Rye
25.6,80.4,62.9,red,153.0,6.02,Tomato
21.1,58.5,48.3,black,162.8,6.66,Corn
13.1,57.0,35.4,loamy,211.7,7.03,Rapeseed
